datetime,title,content,url
2018-04-20 21:28,福建高速2017年年度董事会经营评述,4月21日消息，福建高速（600033）2017年年度董事会经营评述内容如下： 一、经营情况讨论与分析 2017年，面对复杂严峻的经济形势，我国以供给侧结构性改革为主线，坚持稳中求进工作总基调，尽管依然面临不少的困难和压力，通过推动结构... ,http://yuanchuang.10jqka.com.cn/20180420/c604049685.shtml
2018-02-14 09:15,春节7天福建高速免费通行,记者13日从省高速公路集团获悉，春节期间，福建高速将继续实施7座（含7座）以下小型客车免费通行政策，2月15日（除夕）0时至2月21日（正月初六）24时，全省所有收费高速公路免征7座（含7座）以下小型客车通行费。 今年春节期间，... ,http://news.sina.com.cn/c/2018-02-14/doc-ifyrkzqr3318469.shtml
2017-12-20 08:48,,【上证e互动】“努比亚z17” 提问：公司的高速路 可以微信支付核准支付宝支付吗？ 公司官方回答：你好，目前福建省高速公路尚未开通全省性的第三方支付通行费的渠道，您可以前往ETC服务网点办理电子不停车收费卡用于快速通行结算。谢谢。 ,http://sns.sseinfo.com/qadetail.do?weiboId=296282
2017-12-19 12:37,福建高速招人啦！共107人！本科可报，截至2018年1月15日！,福建高速招人啦！ 共107人！ 全日制本科可报 若你具备以下条件 别踌躇 赶紧投简历 开始一个新的旅程 基本条件 具有大学本科或以上学历。政治合格，身体健康，积极上进。 分配方向 以下招聘岗位均拟安排在所属单位。 人才需求表 人... ,http://news.sina.com.cn/o/2017-12-19/doc-ifyptfcn2136184.shtml
2017-10-26 08:31,,【上证e互动】“杨崇莹” 提问：请问公司预计2017年扣除非经常性损益后的净利润增长百分比大约是多少？ 公司官方回答：投资者，你好。公司2017年第三季度报告将于10月31日披露，敬请留意。至于2017年年度业绩情况敬请关注公司后续公开披露的公告，目前没有这方面的数据。谢谢。 ,http://sns.sseinfo.com/qadetail.do?weiboId=274657
2017-07-25 10:14,高速公路概念股起飞！这轮上涨良机是如何酝酿的？,【高速公路概念股起飞！这轮上涨良机是如何酝酿的？】截止收盘，中原高速涨停；福建高速、赣粤高速、楚天高速、东莞控股等涨逾5%；龙江交通、深高速、粤高速A等都有不同程度涨幅。 今日(7月24日)，有一个默默无闻的板块—高速公路板... ,"http://stock.eastmoney.com/news/1405,20170724759540314.html"
2017-07-25 08:26,高速路公司集体大涨 “现金奶牛”获重估？,证券时报记者 刘凡 昨日，高速路板块突然大涨。截至收盘，高速路公司除了五洲交通股价微跌以外，其余股价全部上涨。其中，中原高速涨停，福建高速大涨逾9%，赣粤高速涨逾7%，楚天高速和东莞控股均涨超5%。 实际上，福建高速和中原高速最近并无重大利... ,http://www.stcn.com/2017/0725/13513026.shtml
2017-03-18 18:12,福建高速独董汤新华离职 同日监事谢翌辞职,福建高速（600033）3月17日晚间公告，公司收到独立董事汤新华先生和监事谢翌先生递交的书面辞职信。汤新华先生因个人工作原因，申请辞去公司独立董事、审计委员会和薪酬与考核委员会职务。谢翌先生因工作原因，申请辞去公司监事职务。汤新华... ,http://stock.10jqka.com.cn/20170318/c596967229.shtml
2016-08-02 07:09,厦门国际银行增发半路涨价 老股东福建高速弃购,时代周报记者 曾令俊 实习生 林思雨 发自广州 原本“一马平川”的增资扩股之路，却因突然提高价格而掀波澜。7月14日，福建高速公告称，由于厦门国际银行增资扩股价格提高，决定放弃参与该行2016年度增资扩股。据时代周报记者... ,http://finance.sina.com.cn/roll/2016-08-02/doc-ifxunyya2992995.shtml
2016-07-19 04:58,厦门国际银行增资扩股遇波折 股东福建高速因其“...,正在进行新一轮增资扩股并力争两年时间实现IPO的厦门国际银行，如今却遇到了老股东“半路下车”的窘境。由于该行增发价格涨至4.8元/股，原本决定斥资认购股份的该行老股东福建发展高速公路股份有限公司(下称“福建高速（600033）”)突然决定... ,http://stock.10jqka.com.cn/20160719/c591802476.shtml
2016-04-22 16:45,新建高速公路回报率大幅走低 福建高速寻求多元化转型,福建高速4月22日晚间发布年报，2015年公司实现营业总收入25.78亿元，同比下降2.21%；实现归属于母公司所有者的净利润5.51亿元，同比下降8.24%；每股收益0.20元，同比下降8.31%。福建高速的通行费收入主要来自于福泉高速和泉厦高速两条路段。自200... ,http://company.stcn.com/2016/0422/12683622.shtml
2016-04-07 20:39,福建高速董事长调任 5高管同日齐辞职,4月7日晚间，福建高速（600033）发布公告称，因股东单位人事调整原因，董事长黄祥谈及5名高管辞职，辞职后均不再担任公司任何职务。公告显示，福建高速于同一日辞职的高管，除了董事长黄祥谈以外，还有副董事长刘先福、董事王敏、监事王雷刚... ,http://stock.10jqka.com.cn/20160407/c589082118.shtml
2016-04-05 17:55,福建高速年报延期至4月23日披露,福建高速（600033）4月5日晚间公告，公司原定于2016年4月16 日披露2015年年度报告，现因年度审计工作进度原因，公司预计年报工作无法如期完成。为确保公司2015年年度报告的质量以及信息披露的准确性，公司2015年报披露时间延期至2016年4 月23 日... ,http://company.stcn.com/2016/0405/12655233.shtml
2016-03-06 15:44,福建高速(600033)拟出资10亿元参与厦门国际银行2016年度增资扩股,"【事件简述】: 2016年3月7日公告,公司于2016年3月4日召开第七届董事会第五次会议,审议通过了《关于参与厦门国际银行2016年度增资扩股的议案》,同意公司出资不超过10亿元,参与厦门国际银行2016年度增资扩股。【事件点评】: 厦门国际银行目前正... ",http://stock.stockstar.com/JC2016030600000313.shtml
2016-03-04 15:58,福建高速拟至多10亿元参与厦门国际银行增资扩股,中国证券网讯（记者 严政）福建高速3月4日晚间公告称，为加强公司战略投资力度，董事会同意公司出资不超过10亿元参与厦门国际银行股份有限公司（简称“厦门国际银行”）2016年度增资扩股，认购后公司对其持股比例将由目... ,http://finance.sina.com.cn/stock/t/2016-03-04/doc-ifxqafrm6900916.shtml
2015-08-28 18:00,福建高速上半年实现净利润3亿元,福建高速（个股资料 操作策略 咨询高手 实盘买卖） 福建高速8月28日晚间披露了2015年半年报：公司实现营业收入13亿元，同比下降1.48%，净利润3亿元，同比下降0.9%；基本每股收益0.1168元。上半年，在宏观经济下行压力持续加大的背景下，公司... ,http://stock.stockstar.com/SS2015082800004015.shtml
2015-08-20 16:36,福建高速：金桥财险筹建获保监会批复,福建高速（个股资料 操作策略 咨询高手 实盘买卖） 福建高速(600033)周四盘后公告称，公司19日手打中国保监会的批复，同意公司等7家公司共同发起筹建海峡金桥财产保险股份有限公司，注册资本人民币15亿元，注册地福建省福州市。公司作为海峡... ,http://stock.stockstar.com/SS2015082000002163.shtml
2015-07-02 10:31,厦漳泉大都市区交通一体化规划印发 福建高速等为属地公司,鸡毛信jmxer封闭期解封后消息：鸡毛信jmxer昨日获悉，福建省委省政府日前批准印发实施《厦漳泉大都市区综合交通一体化规划》，6月30日福建省交通运输厅副厅长陈培健就厦漳泉大都市区综合交通一体化在干线公路、铁路及城际轨道等七个方面的规划... ,http://stock.caijing.com.cn/20150702/3917364.shtml
2015-05-30 00:09,福建高速参与厦门国际银行增发获福建省国资委同意,公司4月3日收到福建省人民政府国有资产监督管理委员会《关于同意福建发展高速公路股份有限公司参与厦门国际银行增发股份的批复》，同意公司以自有资金不超过10亿元参与厦门国际银行增资扩股。福建高速(600033)4月3日晚公告，公司4月3日收到福建省人... ,http://www.yicai.com/news/2015/05/4625050.html
2015-05-29 09:22,“我是股东”走进福建高速,福建高速（个股资料 操作策略 咨询高手 实盘买卖） 5月28日，由上海证券交易所组织的“我是股东--中小投资者走进上市公司”活动走进福建高速。活动从投资者参观福建省高速公路中控室开始，在宽敞大厅的电视墙上，工作人员分别调出了福建高速... ,http://stock.stockstar.com/SS2015052900000812.shtml
2015-04-15 19:52,(龙虎榜)福建高速公路概念股，宁波一游资买入金额1.06亿元,大智慧阿思达克通讯社4月15日讯，消息面上，福建高速（600033.SH）周二公告称，公司昨日与厦门国际银行股份有限公司正式签订增资协议，公司将出资9.98亿元认购1.33亿股厦门国际银行增发股份。受此利好消息影响，该股高开后迅速封死涨... ,http://www.gw.com.cn/news/news/2015/0415/200000427622.shtml
2015-04-14 18:46,福建高速拟9.98亿增资厦门国际银行,全景网4月14日讯 福建高速(600033)周二公告称，公司昨日与厦门国际银行股份有限公司(下称“厦门国际银行”)正式签订增资协议，公司将出资9.98亿元认购1.33亿股厦门国际银行增发股份。公告显示，该次增发价格为7.5元/股，增资金额中... ,http://finance.sina.com.cn/stock/s/20150414/160421954000.shtml
2015-03-20 18:08,福建高速10亿参与厦门国际银行增发,"福建高速(行情600033,问诊)周四盘后披露，公司拟以自有资金不超过10亿元，参与厦门国际银行股份有限公司增资扩股项目。此次厦门国际银行增发股份初步拟定发行价格为每股7.5元，公司总投资不超过10亿元现金。厦门国际银行业务分为公司业务、零... ",http://stock.stockstar.com/JC2015032000002378.shtml
2015-03-20 10:22,高速公路股涨幅居前 福建高速涨停,高速公路股涨幅居前，福建高速涨停。周五高速公路个股涨幅居前，截止发稿，福建高速涨停，吉林高速、中原高速涨幅超3%，海南高速、皖通高速、龙江交通涨幅超2%。新浪声明：此消息系转载自新浪合作媒体，新浪网登载此文出于传递更... ,http://finance.sina.com.cn/stock/jsy/20150320/102221767513.shtml
2015-03-19 18:12,福建高速拟投10亿元 入股厦门国际银行,中国证券网讯(记者 陈天弋)福建高速（600033）3月19日晚间公告，公司拟以自有资金不超过10亿元，参与厦门国际银行增资扩股项目，增发股份初步拟定发行价格为每股7.5元，公司拟认购不超过1.33亿股，约占增资后厦门国际银行总股本的4.18%。公告... ,http://stock.10jqka.com.cn/20150319/c571227774.shtml
2015-03-06 19:08,福建高速去年净利增长10.94%,福建高速（个股资料 操作策略 咨询高手 实盘买卖） 福建高速(600033)3月6日晚间发布2014年业绩快报，实现营业总收入26.55亿元，同比增长1.13%；归属于上市公司股东的净利润 6.03亿元，同比增长10.94%。2014年，随着国家宏观经济增速的放缓，... ,http://stock.stockstar.com/SS2015030600002427.shtml
2014-12-07 14:32,福建高速获批发行100亿元中期票据,中国银行间市场交易商协会日前批准福建省高速公路有限责任公司(以下简称“福建高速”)100亿元中期票据注册，首期40亿元已正式发行，这是福建交通基础设施行业最大规模的一次直接融资。为响应中央建设“一带一路”、重振海上丝绸之路的部署，... ,http://stock.stockstar.com/SS2014120700000361.shtml
2014-10-21 11:24,高速公路板块飙升 福建高速直线涨停 21世纪网 201...,核心提示： 盘中，高速公路板块快速飙升，福建高速直线涨停，中原高速、楚天高速等均有涨幅。国务院副总理马凯调研公路交通时强调，尽快打通国家高速公路“断头路”。盘中，高速公路板块快速飙升，福建高速直线涨停，中原高速、楚天... ,http://money.21cbh.com/2014/10-20/zMMDEwMTZfMTMyMzMzMg.html
2014-10-20 14:34,快讯：福建股集体飙升 福建高速涨停,新浪提示：本文属于个股点评栏目，仅为证券咨询人士对相关个股或板块的个人观点和分析，并非正式的新闻报道，新浪不保证其真实性和客观性，投资者据此操作，风险自担。一切有关该股的准确信息，请以沪深交易所的公告为准。福建板块... ,http://finance.sina.com.cn/stock/e/20141020/143220586980.shtml
2014-08-27 19:43,福建高速(600033)2014年上半年度净利同比增一成,"中证网讯福建高速（600033）8月27日晚间公告表示，2014年上半年度归属于公司股东的净利润为323,500,178.09元，上年同期为294,699,980.79元，同比增9.77%；2014年上半年度基本每股收益为0.1179元，上年同期为0.1074元，同比增9.78%。公司主要... ",http://stock.10jqka.com.cn/20140827/c567123514.shtml
2014-08-27 16:31,福建高速2014年上半年净利润同比增长9.77%,8月27日晚间，福建高速发布公告称，2014年上半年，公司实现营业收入128，484.26万元，同比增长2.60%，营业成本支出38，164.40万元，同比增长4.55%，管理费用支出3，453.23万元，同比下降0.65%，财务费用支出22，124.24万元，同比... ,http://www.ccstock.cn/gscy/gongsi/2014-08-27/A1409127556594.html
